,Company.Name,Date,Group.1,Group.2,PR_AVG_Tone,PR_LM_Tone,PR_LIWC_Tone,PR_DIC_Tone,PR_H06_Tone,PR_H08_Tone,MA_AVG_Tone,MA_LM_Tone,MA_LIWC_Tone,MA_DIC_Tone,MA_H06_Tone,MA_H08_Tone
7590,TAYLOR WIMPEY,15/03/2000,TAYLOR WIMPEY,15/03/2000,0.695748356,0.286885246,0.881987578,0.746268657,0.783783784,0.779816514,1,1,1,1,1,1
5331,MORRISON(WM)SPMKTS.,16/03/2000,MORRISON(WM)SPMKTS.,16/03/2000,0.657522325,0.194915254,0.837078652,0.775280899,0.747663552,0.732673268,0.386666667,0,0.6,0.6,0.4,0.333333333
5775,PENINSULAR & OR.STM.NAV DEAD - 09/03/06,16/03/2000,PENINSULAR & OR.STM.NAV DEAD - 09/03/06,16/03/2000,0.49753396,0.272727273,0.6,0.166666667,0.724137931,0.724137931,0.612706592,0.285714286,0.757575758,0.230769231,0.894736842,0.894736842
5934,PREMIER FARNELL,16/03/2000,PREMIER FARNELL,16/03/2000,0.820997972,0.773006135,0.893048129,0.767676768,0.838888889,0.832369942,0.845714286,1,0.8,1,0.714285714,0.714285714
7895,TRINITY MIRROR,17/03/2000,TRINITY MIRROR,17/03/2000,0.471691394,-0.004930966,0.850049164,0.514202172,0.500585877,0.498550725,0.676923077,0.5,1,0.5,0.692307692,0.692307692
4284,INFORMA,20/03/2000,INFORMA,20/03/2000,0.352241153,-0.011764706,0.552795031,-0.25,0.736842105,0.733333333,0.87,0.6,1,0.75,1,1
7568,TAYLOR NELSON SOFRES DEAD - T/O BY 926119,20/03/2000,TAYLOR NELSON SOFRES DEAD - T/O BY 926119,20/03/2000,0.739610109,0.234042553,0.895604396,0.802083334,0.883561644,0.882758621,0.8,0,1,1,1,1
2304,COBHAM,21/03/2000,COBHAM,21/03/2000,0.433578457,0.01875,0.873611111,0.491699046,0.392723881,0.391108248,0.714285714,-0.428571429,1,1,1,1
4285,INFORMA,21/03/2000,INFORMA,21/03/2000,0.4,0,0.5,0.5,0.5,0.5,0.446428571,-0.25,0.625,-0.142857143,1,1
4589,JOHNSTON PRESS,21/03/2000,JOHNSTON PRESS,21/03/2000,0.521160065,0.161016949,0.840516513,0.251141553,0.678004535,0.675120773,0.911794872,0.692307692,0.866666667,1,1,1
139,ALLIANCE UNICHEM DEAD - EX.INTO 901192,22/03/2000,ALLIANCE UNICHEM DEAD - EX.INTO 901192,22/03/2000,0.816459811,0.804651163,0.843065694,0.682758621,0.877777778,0.874045802,0.96,0.8,1,1,1,1
202,AMEY DEAD - DEAD 26/06/03,22/03/2000,AMEY DEAD - DEAD 26/06/03,22/03/2000,0.768447274,0.316666667,0.9375,0.85925926,0.864864865,0.863945578,0.943095238,0.9,0.958333334,0.857142857,1,1
822,BARRATT DEVELOPMENTS,22/03/2000,BARRATT DEVELOPMENTS,22/03/2000,0.741896114,0.225490196,0.903614458,0.795454546,0.893617022,0.891304348,0.847857806,0.388359789,0.958333333,0.939393939,0.977011494,0.976190476
